query,event
Is there a dress code for the Annual Tech Fest 25?,Annual Tech Fest 25
What time is the Alumni Interaction Session 30?,Alumni Interaction Session 30
Where is the Alumni Interaction Session 30?,Alumni Interaction Session 30
Can I get a reminder for the Alumni Interaction Session 30?,Alumni Interaction Session 30
How do I move the Startup Pitch Fest 41 to a different date?,Startup Pitch Fest 41
Can I set a reminder for the Startup Pitch Fest 41?,Startup Pitch Fest 41
What is my RSVP status for the Startup Pitch Fest 41?,Startup Pitch Fest 41
1. Is there a conflict with my 9:34 AM class on 02-02-2025?,National Science Conference 14
2. Can you remind me to bring my presentation to the National Science Conference 14?,National Science Conference 14
3. Can I change the venue of the National Science Conference 14 to the College Library?,National Science Conference 14
What is the date and time of the Sustainability Awareness Campaign 59?,Sustainability Awareness Campaign 59
Where is the Sustainability Awareness Campaign 59 being held?,Sustainability Awareness Campaign 59
Is the Sustainability Awareness Campaign 59 still accepting RSVPs?,Sustainability Awareness Campaign 59
What time is the Industry Networking Event 94?,Industry Networking Event 94
Where is the Industry Networking Event 94?,Industry Networking Event 94
Can you remind me about the Industry Networking Event 94?,Industry Networking Event 94
02-11-2025 6:09 PM Startup Pitch Fest 33 Chemistry Lecture Theater,Startup Pitch Fest 33
What's the date and time of the Startup Pitch Fest 33?,Startup Pitch Fest 33
Where is the Startup Pitch Fest 33 being held?,Startup Pitch Fest 33
14-03-2025 02:32 PM Innovation Hackathon 51 Physics Research Lab,Innovation Hackathon 51
What is the date and time of Innovation Hackathon 51?,Innovation Hackathon 51
Where is Innovation Hackathon 51 being held?,Innovation Hackathon 51
What is the date of Astronomy Night 37?,Astronomy Night 37
Can you remind me of Astronomy Night 37?,Astronomy Night 37
Where is Astronomy Night 37 taking place?,Astronomy Night 37
15-01-2025 08:00 AM Astronomy Night 81 RSVP status,Astronomy Night 81
Move Astronomy Night 81 to a different date and time,Astronomy Night 81
Invite my friend to Astronomy Night 81,Astronomy Night 81
What is the time of the Inter-University Debate Competition 18?,Inter-University Debate Competition 18
Can I set a reminder for the Inter-University Debate Competition 18?,Inter-University Debate Competition 18
Is my RSVP for the Inter-University Debate Competition 18 still pending?,Inter-University Debate Competition 18
What time is the Alumni Interaction Session 66?,Alumni Interaction Session 66
Is there a conflict with my other plans on September 19th at 8:57 PM?,Alumni Interaction Session 66
Where is the Alumni Interaction Session 66 taking place?,Alumni Interaction Session 66
Is there a seminar happening at the college cafeteria lounge on August 27th at 3:19 PM?,Cybersecurity Awareness Seminar 63
Can you remind me about the cybersecurity awareness seminar on August 27th at 3:19 PM?,Cybersecurity Awareness Seminar 63
Is there any other event happening at the college cafeteria lounge on August 27th at 3:19 PM?,Cybersecurity Awareness Seminar 63
What is the date of the Cultural Exchange Program 22?,Cultural Exchange Program 22
Is there a conflict with my meeting scheduled at 5 PM on 30-04-2025?,Cultural Exchange Program 22
Can I see the location of the Cultural Exchange Program 22?,Cultural Exchange Program 22
12-01-2025 6:56 PM Mathematics Symposium 35 Chemistry Lecture Theater,Mathematics Symposium 35
Is my RSVP for Mathematics Symposium 35 still pending?,Mathematics Symposium 35
Can you remind me to arrive early for Mathematics Symposium 35 at Chemistry Lecture Theater?,Mathematics Symposium 35
06-02-2025 5:07 PM Cybersecurity Awareness Seminar 2 - Chemistry Lecture Theater,Cybersecurity Awareness Seminar 2
Is there a conflict with my schedule on 06-02-2025 5:07 PM?,Cybersecurity Awareness Seminar 2
Can I move the Cybersecurity Awareness Seminar 2 to a different time or location?,Cybersecurity Awareness Seminar 2
What is the date and time of Startup Pitch Fest 94?,Startup Pitch Fest 94
Where is Startup Pitch Fest 94 being held?,Startup Pitch Fest 94
Is Startup Pitch Fest 94 a recurring event?,Startup Pitch Fest 94
What is the date of the Annual Tech Fest 78?,Annual Tech Fest 78
Can you remind me of the Annual Tech Fest 78?,Annual Tech Fest 78
Is my RSVP for the Annual Tech Fest 78 still pending?,Annual Tech Fest 78
What is the time of the Business Case Study Challenge 83?,Business Case Study Challenge 83
Is the Business Case Study Challenge 83 a recurring event?,Business Case Study Challenge 83
How do I send invites for the Business Case Study Challenge 83?,Business Case Study Challenge 83
How often does the National Science Conference happen?,National Science Conference 84
What time is the National Science Conference starting on 05-08-2025?,National Science Conference 84
Is the National Science Conference happening at the Mechanical Engineering Workshop?,National Science Conference 84
24-06-2025 11:19 AM Cybersecurity Awareness Seminar 10 RSVP status,Cybersecurity Awareness Seminar 10
24-06-2025 11:19 AM Cybersecurity Awareness Seminar 10 follow-up,Cybersecurity Awareness Seminar 10
24-06-2025 11:19 AM Cybersecurity Awareness Seminar 10 venue change,Cybersecurity Awareness Seminar 10
28-08-2025 04:17 PM Sustainability Awareness Campaign 96 Open Air Theater,Sustainability Awareness Campaign 96
Can I check if there are any scheduling conflicts for the Sustainability Awareness Campaign 96 on 28-08-2025 04:17 PM at the Open Air Theater?,Sustainability Awareness Campaign 96
How do I modify the Sustainability Awareness Campaign 96 on 28-08-2025 04:17 PM at the Open Air Theater?,Sustainability Awareness Campaign 96
What time is the Annual Tech Fest 12?,Annual Tech Fest 12
Where is the Annual Tech Fest 12 held?,Annual Tech Fest 12
Can I share the details of the Annual Tech Fest 12 with my friends?,Annual Tech Fest 12
What is the date and time of the Inter-University Debate Competition 33?,Inter-University Debate Competition 33
Where is the Inter-University Debate Competition 33 being held?,Inter-University Debate Competition 33
Is there a way to RSVP for the Inter-University Debate Competition 33?,Inter-University Debate Competition 33
19-09-2025 04:18 PM Cybersecurity Awareness Seminar 98 Chemistry Lecture Theater - Check for scheduling conflicts,Cybersecurity Awareness Seminar 98
19-09-2025 04:18 PM Cybersecurity Awareness Seminar 98 Chemistry Lecture Theater - Set reminder for the event,Cybersecurity Awareness Seminar 98
19-09-2025 04:18 PM Cybersecurity Awareness Seminar 98 Chemistry Lecture Theater - Modify the event time,Cybersecurity Awareness Seminar 98
What is the date and time of the Cybersecurity Awareness Seminar 22?,Cybersecurity Awareness Seminar 22
Where is the Cybersecurity Awareness Seminar 22 being held?,Cybersecurity Awareness Seminar 22
Can I set a reminder for the Cybersecurity Awareness Seminar 22?,Cybersecurity Awareness Seminar 22
What is the date of Business Case Study Challenge 10?,Business Case Study Challenge 10
Can I change the time of Business Case Study Challenge 10?,Business Case Study Challenge 10
Where is Business Case Study Challenge 10 being held?,Business Case Study Challenge 10
Can I get a list of attendees for the Cybersecurity Awareness Seminar 67?,Cybersecurity Awareness Seminar 67
What's the date and time of the Cybersecurity Awareness Seminar 67?,Cybersecurity Awareness Seminar 67
Can I set a reminder for the Cybersecurity Awareness Seminar 67?,Cybersecurity Awareness Seminar 67
How do I move the Cultural Exchange Program 80 to a different time?,Cultural Exchange Program 80
Can you remind me to bring snacks for the Cultural Exchange Program 80?,Cultural Exchange Program 80
How do I cancel the Cultural Exchange Program 80?,Cultural Exchange Program 80
08-03-2025 11:44 AM Artificial Intelligence Workshop 42 CSE Block Seminar Hall,Artificial Intelligence Workshop 42
Send out invites for Artificial Intelligence Workshop 42 on 08-03-2025 11:44 AM at CSE Block Seminar Hall,Artificial Intelligence Workshop 42
Set reminder for Artificial Intelligence Workshop 42 on 08-03-2025 11:44 AM at CSE Block Seminar Hall,Artificial Intelligence Workshop 42
14-05-2025 07:45 PM Artificial Intelligence Workshop 32 College Cafeteria Lounge - Check for scheduling conflicts,Artificial Intelligence Workshop 32
14-05-2025 07:45 PM Artificial Intelligence Workshop 32 College Cafeteria Lounge - Set reminder,Artificial Intelligence Workshop 32
14-05-2025 07:45 PM Artificial Intelligence Workshop 32 College Cafeteria Lounge - Follow-up reminder,Artificial Intelligence Workshop 32
What is the time of the Annual Tech Fest 17?,Annual Tech Fest 17
Where is the Annual Tech Fest 17 being held?,Annual Tech Fest 17
Can I get an email invite for the Annual Tech Fest 17?,Annual Tech Fest 17
What is the time of the Annual Tech Fest 26?,Annual Tech Fest 26
Where is the Annual Tech Fest 26 being held?,Annual Tech Fest 26
Is there a conflict with my schedule for the Annual Tech Fest 26?,Annual Tech Fest 26
What time is the Cultural Exchange Program 44?,Cultural Exchange Program 44
Is the Cultural Exchange Program 44 at Chemistry Lecture Theater?,Cultural Exchange Program 44
What is the status of my RSVP for the Cultural Exchange Program 44?,Cultural Exchange Program 44
16-01-2025 05:22 PM Music and Arts Festival 63 College Cafeteria Lounge,Music and Arts Festival 63
Invite for Music and Arts Festival 63 on 16-01-2025 05:22 PM at College Cafeteria Lounge,Music and Arts Festival 63
How do I manage recurring events like Music and Arts Festival 63?,Music and Arts Festival 63
What time is the Music and Arts Festival on July 22nd?,Music and Arts Festival 31
Is the Music and Arts Festival happening every week?,Music and Arts Festival 31
Can I move the Music and Arts Festival to a different location?,Music and Arts Festival 31
27-02-2025 09:45 AM Cultural Exchange Program 86 CSE Block Seminar Hall - Checking for scheduling conflicts,Cultural Exchange Program 86
27-02-2025 09:45 AM Cultural Exchange Program 86 CSE Block Seminar Hall - RSVP status-related queries (Accepted / Declined / Tentative),Cultural Exchange Program 86
27-02-2025 09:45 AM Cultural Exchange Program 86 CSE Block Seminar Hall - Follow-ups and post-event reminders,Cultural Exchange Program 86
04-03-2025 5:51 PM Cybersecurity Awareness Seminar 93,Cybersecurity Awareness Seminar 93
Move Cybersecurity Awareness Seminar 93 to 04-03-2025 5:51 PM,Cybersecurity Awareness Seminar 93
Cancel Cybersecurity Awareness Seminar 93 on 04-03-2025 5:51 PM,Cybersecurity Awareness Seminar 93
What is the date and time of Innovation Hackathon 45?,Innovation Hackathon 45
Is there a conflict with any other events on 20-09-2025 10:34 AM?,Innovation Hackathon 45
Where is Innovation Hackathon 45 being held?,Innovation Hackathon 45
How often does Innovation Hackathon 51 happen?,Innovation Hackathon 51
Can you remind me when Innovation Hackathon 51 starts?,Innovation Hackathon 51
What should I do after Innovation Hackathon 51 ends?,Innovation Hackathon 51
What is the date of the Sustainability Awareness Campaign 7?,Sustainability Awareness Campaign 7
Can you remind me of the Sustainability Awareness Campaign 7?,Sustainability Awareness Campaign 7
Where is the Sustainability Awareness Campaign 7 taking place?,Sustainability Awareness Campaign 7
How do I schedule a reminder for the Startup Pitch Fest 18?,Startup Pitch Fest 18
Can you send out invites for the Startup Pitch Fest 18?,Startup Pitch Fest 18
How do I manage recurring events like Startup Pitch Fest 18?,Startup Pitch Fest 18
What is the date of Innovation Hackathon 79?,Innovation Hackathon 79
Is Innovation Hackathon 79 happening at the Mechanical Engineering Workshop?,Innovation Hackathon 79
What time does Innovation Hackathon 79 start?,Innovation Hackathon 79
How many people are attending the Cybersecurity Awareness Seminar 29?,Cybersecurity Awareness Seminar 29
Can I change the date and time of the Cybersecurity Awareness Seminar 29?,Cybersecurity Awareness Seminar 29
What is the RSVP status for the Cybersecurity Awareness Seminar 29?,Cybersecurity Awareness Seminar 29
What is the time of the Inter-University Debate Competition 96?,Inter-University Debate Competition 96
Where is the Inter-University Debate Competition 96 being held?,Inter-University Debate Competition 96
Is my RSVP for the Inter-University Debate Competition 96 still pending?,Inter-University Debate Competition 96
What time is the Industry Networking Event 30?,Industry Networking Event 30
Where is the Industry Networking Event 30?,Industry Networking Event 30
Is there a scheduling conflict with the Industry Networking Event 30?,Industry Networking Event 30
